Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1620636735999,10/05/2021 08:52:15,1620636736252,1,10/05/2021 09:52:16,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,BEGIN QUESTIONNAIRE,
2,1620636755938,10/05/2021 08:52:35,1620636756206,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,mouse,mouse
3,1620636756012,10/05/2021 08:52:36,1620636756208,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,mouse-quantised,1
4,1620636756012,10/05/2021 08:52:36,1620636756208,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,problems,no
5,1620636756012,10/05/2021 08:52:36,1620636756208,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,problems-quantised,1
6,1620636756012,10/05/2021 08:52:36,1620636756208,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,problems-text,
7,1620636756012,10/05/2021 08:52:36,1620636756208,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,drugs/alcohol-5,Prescription drugs
8,1620636756012,10/05/2021 08:52:36,1620636756209,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,tired,Fine
9,1620636756012,10/05/2021 08:52:36,1620636756209,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,tired-quantised,3
10,1620636756012,10/05/2021 08:52:36,1620636756209,1,10/05/2021 09:52:36,49173,4,questionnaire-iqdc,,12546969,22846,3786770,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1920x937,,Study questions,1,No,END QUESTIONNAIRE,19957
1,1620519847534,09/05/2021 00:24:07,1620519846588,1,09/05/2021 01:24:06,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,BEGIN QUESTIONNAIRE,
2,1620519863244,09/05/2021 00:24:23,1620519862343,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,mouse,mouse
3,1620519863322,09/05/2021 00:24:23,1620519862344,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,mouse-quantised,1
4,1620519863322,09/05/2021 00:24:23,1620519862344,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,problems,no
5,1620519863322,09/05/2021 00:24:23,1620519862344,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,problems-quantised,1
6,1620519863322,09/05/2021 00:24:23,1620519862344,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,problems-text,
7,1620519863322,09/05/2021 00:24:23,1620519862344,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,drugs/alcohol-1,No
8,1620519863322,09/05/2021 00:24:23,1620519862344,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,tired,Tired
9,1620519863322,09/05/2021 00:24:23,1620519862344,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,tired-quantised,2
10,1620519863322,09/05/2021 00:24:23,1620519862344,1,09/05/2021 01:24:22,49173,4,questionnaire-iqdc,,12529959,22747,3782232,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1920x1080,1536x864,,Study questions,1,No,END QUESTIONNAIRE,15756
1,1620380181441,07/05/2021 09:36:21,1620380181505,1,07/05/2021 10:36:21,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,BEGIN QUESTIONNAIRE,
2,1620380204685,07/05/2021 09:36:44,1620380204797,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,mouse,trackpad
3,1620380204742,07/05/2021 09:36:44,1620380204800,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,mouse-quantised,2
4,1620380204742,07/05/2021 09:36:44,1620380204800,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,problems,no
5,1620380204742,07/05/2021 09:36:44,1620380204801,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,problems-quantised,1
6,1620380204742,07/05/2021 09:36:44,1620380204801,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,problems-text,
7,1620380204742,07/05/2021 09:36:44,1620380204802,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,drugs/alcohol-2,Alcohol in the last 48 hours
8,1620380204742,07/05/2021 09:36:44,1620380204802,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,tired,Fine
9,1620380204742,07/05/2021 09:36:44,1620380204803,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,tired-quantised,3
10,1620380204742,07/05/2021 09:36:44,1620380204804,1,07/05/2021 10:36:44,49173,4,questionnaire-iqdc,,12498599,22098,3771713,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.93,1366x768,1366x768,,Study questions,1,No,END QUESTIONNAIRE,23299
1,1620241868761,05/05/2021 19:11:08,1620241866909,1,05/05/2021 20:11:06,49173,4,questionnaire-iqdc,,12450590,22668,3756966,,complete,,,computer,Desktop or Laptop,Chromium OS 13729.84.0,Chrome 89.0.4389.130,1536x864,1536x864,,Study questions,1,No,BEGIN QUESTIONNAIRE,
