Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1638357979734,01/12/2021 11:26:19,1638357980677,0,01/12/2021 11:26:20,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1280x609,,Study questions sept21,1,No,BEGIN QUESTIONNAIRE,
2,1638358001332,01/12/2021 11:26:41,1638358002304,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,mouse,trackpad
3,1638358001429,01/12/2021 11:26:41,1638358002305,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,mouse-quantised,2
4,1638358001429,01/12/2021 11:26:41,1638358002305,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,problems,no
5,1638358001429,01/12/2021 11:26:41,1638358002305,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,problems-quantised,1
6,1638358001429,01/12/2021 11:26:41,1638358002306,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,problems-text,
7,1638358001429,01/12/2021 11:26:41,1638358002306,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,drugs/alcohol-1,No
8,1638358001429,01/12/2021 11:26:41,1638358002306,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,tired,Fine
9,1638358001429,01/12/2021 11:26:41,1638358002306,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,tired-quantised,3
10,1638358001429,01/12/2021 11:26:41,1638358002306,0,01/12/2021 11:26:42,71111,3,questionnaire-iqdc,,17615937,74341,5202053,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x720,1263x609,,Study questions sept21,1,No,END QUESTIONNAIRE,21629
