Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1631525442100,13/09/2021 09:30:42,1631525441841,1,13/09/2021 10:30:41,61434,1,questionnaire-u4fz,,15670325,60cb07e335a3ead69def5309,4644899,,complete,,613f18cde2313d2ca2dac2fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1920x1080,1920x976,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1631525452699,13/09/2021 09:30:52,1631525452490,1,13/09/2021 10:30:52,61434,1,questionnaire-u4fz,,15670325,60cb07e335a3ead69def5309,4644899,,complete,,613f18cde2313d2ca2dac2fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.63,1920x1080,1905x976,,Informationsheet sept21,2,No,END QUESTIONNAIRE,10649
1,1631619514843,14/09/2021 11:38:34,1631619514733,1,14/09/2021 12:38:34,61434,1,questionnaire-u4fz,,15711431,60f46e90071a4071e99e5d5e,4654218,,complete,,614089b4a96a45e80efb1a4b,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 93.0.4577.63,1440x900,1440x821,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1631619522895,14/09/2021 11:38:42,1631619522828,1,14/09/2021 12:38:42,61434,1,questionnaire-u4fz,,15711431,60f46e90071a4071e99e5d5e,4654218,,complete,,614089b4a96a45e80efb1a4b,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 93.0.4577.63,1440x900,1425x821,,Informationsheet sept21,2,No,END QUESTIONNAIRE,8096
1,1631773252949,16/09/2021 06:20:52,1631773252795,2,16/09/2021 08:20:52,61434,1,questionnaire-u4fz,,15796185,60f1c4f0f3e180b295b31f51,4675036,,complete,,6142e23f38d0594d5c5e1cc8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.82,1440x900,1440x821,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1631773259306,16/09/2021 06:20:59,1631773259192,2,16/09/2021 08:20:59,61434,1,questionnaire-u4fz,,15796185,60f1c4f0f3e180b295b31f51,4675036,,complete,,6142e23f38d0594d5c5e1cc8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 93.0.4577.82,1440x900,1425x821,,Informationsheet sept21,2,No,END QUESTIONNAIRE,6397
1,1631805920678,16/09/2021 15:25:20,1631805919630,1,16/09/2021 16:25:19,61434,1,questionnaire-u4fz,,15804675,6068aa0d235907f79872a401,4678112,,complete,,614361d10900c57232bb1b94,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x595,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1631805939479,16/09/2021 15:25:39,1631805938508,1,16/09/2021 16:25:38,61434,1,questionnaire-u4fz,,15804675,6068aa0d235907f79872a401,4678112,,complete,,614361d10900c57232bb1b94,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1263x595,,Informationsheet sept21,2,No,END QUESTIONNAIRE,18878
1,1631879164077,17/09/2021 11:46:04,1631879163773,1,17/09/2021 12:46:03,61434,1,questionnaire-u4fz,,15819736,60f1669a6563dc71aaa5990b,4683063,,complete,,61447fc4c70fe0b921812953,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1920x937,,Informationsheet sept21,2,No,BEGIN QUESTIONNAIRE,
2,1631879169095,17/09/2021 11:46:09,1631879168829,1,17/09/2021 12:46:08,61434,1,questionnaire-u4fz,,15819736,60f1669a6563dc71aaa5990b,4683063,,complete,,61447fc4c70fe0b921812953,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1920x1080,1903x937,,Informationsheet sept21,2,No,END QUESTIONNAIRE,5056
